superregion2,iso3,countryname,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
SSA,AGO,Angola,0,999,999,3,122.94112,107.65517,12.165673,7.6882687,17.368368,254.52126,33.299343,73.790024,536.9469,2438.8616,58.52758
SSA,AGO,Angola,0,999,999,999,98.733017,96.697891,10.154726,6.1473589,12.686062,236.37553,21.391045,72.14032,517.70996,2411.8357,38.930336
SSA,AGO,Angola,1,0,0,1,57.359604,71.701675,7.1563983,2.9469006,5.3999219,98.036522,8.259469,60.958553,554.58545,2555.5896,19.423767
SSA,AGO,Angola,1,0,0,2,72.651474,77.946564,8.2104759,3.5698466,7.7605181,121.35968,14.362111,63.221153,545.08789,2566.8347,30.287449
SSA,AGO,Angola,1,0,0,3,91.135986,87.179443,10.175349,4.7185879,10.785484,121.61737,23.516569,64.151176,579.85858,2627.6321,48.614487
SSA,AGO,Angola,1,0,0,999,73.35302,78.780579,8.4833822,3.7270758,7.9245763,113.34832,15.219997,62.738182,559.68799,2582.6963,32.474762
SSA,AGO,Angola,1,0,1,1,70.256065,72.868988,7.4981647,5.5807223,8.3580742,232.0657,15.560228,69.412003,521.32697,2308.7754,29.356552
SSA,AGO,Angola,1,0,1,2,89.195221,77.482178,8.7641296,6.5943422,11.677439,287.80792,27.330967,71.376984,513.87671,2323.8145,45.610947
SSA,AGO,Angola,1,0,1,3,111.99266,88.102531,11.063991,8.8747196,16.541809,287.76492,45.041985,72.541344,544.74133,2370.5955,74.282982
SSA,AGO,Angola,1,0,1,999,90.032944,79.333588,9.0723944,6.9838581,12.106695,268.44662,29.003195,71.073494,526.4964,2333.8027,49.290283
SSA,AGO,Angola,1,0,999,1,65.069496,72.399529,7.3607168,4.5214782,7.1683941,178.16319,12.624082,66.012283,534.70251,2408.0366,25.361885
SSA,AGO,Angola,1,0,999,2,82.541824,77.668938,8.5414667,5.3779807,10.102171,220.86743,22.115282,68.096954,526.42889,2421.5498,39.448296
SSA,AGO,Angola,1,0,999,3,103.60474,87.731293,10.706606,7.203248,14.226788,220.94536,36.385109,69.167068,558.86444,2473.9678,63.959885
SSA,AGO,Angola,1,0,999,999,83.324776,79.111183,8.8355112,5.674078,10.424772,206.07074,23.460005,67.721283,539.84509,2433.9004,42.527584
SSA,AGO,Angola,1,1,0,1,76.963509,107.10261,9.4924612,3.4746735,8.3630028,117.58247,6.8521404,66.043076,530.79993,2556.4353,14.685745
SSA,AGO,Angola,1,1,0,2,97.380859,114.07674,10.992487,4.2022429,11.892849,145.90158,12.010776,68.18148,520.45508,2579.21,22.637094
SSA,AGO,Angola,1,1,0,3,122.84814,128.72487,13.777793,5.4987512,16.666239,146.74623,19.800627,69.411499,555.82147,2636.8569,36.660919
SSA,AGO,Angola,1,1,0,999,98.573456,116.41808,11.377325,4.3711963,12.219473,136.34702,12.752692,67.839142,535.54291,2590.0457,24.436304
SSA,AGO,Angola,1,1,1,1,94.589027,106.50826,10.327129,6.3734903,12.859535,277.30826,12.984993,75.092789,500.03625,2331.9292,22.377041
SSA,AGO,Angola,1,1,1,2,120.53343,114.1484,11.910235,7.6962409,18.34219,342.00565,22.997162,77.474632,493.31223,2340.4102,34.703899
